S_No,Material_Description
1,ROPE SUSPENDED PLATFORM;CAPACITY:-800 KG;LIFTING HEIGHT 100 MTR;PLATFORM LENGTH:-7.5 MTR;MAKE:-NEWAGE;MODEL:-ZLP 800
2,GLASS; GLASS SPECIFICATIONS :- Clear glass; GLASS THICKNESS :- 5 mm;
3,Wood Primer
4,WATERPROOFING MEMBRANE;
5,Epoxy Zinc Phosphate Primer;
6,RCC PIPE;TYPE:-Hume;STANDARD:-IS458 - 2003;CLASS:-NP3;TYPE OF JOINT:-Socket Spigot;DIAMETER:-500 mm (ID);WALL THICKNESS:-75 mm
7,BAR BENDING MACHINE; CAPACITY :- 32 MM; MAKE :- ICARO; MODEL :- P36;
8,BAR BENDING MACHINE; TYPE :- ELECTRIC; CAPACITY :- 32 MM; MAKE :- SIGMA; MODEL :- STAR 42;
9,EPOXY PAINT; TYPE :- MIO; CAPACITY :- 20 L; Berger; PRODUCT :- EPILUX 455; COLOUR :- Brown;
10,EPOXY PAINT;TYPE:-Finish;CAPACITY:-1 L;Asian;PRODUCT:-ASIAN EPOXY HB;COLOUR:-Black
11,SYNTHETIC ENAMEL PAINT; Cosmos; PRODUCT :- Aerosol paint; COLOUR :- Green;
12,EPOXY PRIMER; TYPE :- Zinc Phosphate; BRAND :- Berger; PRODUCT :- Epilux XL ZP Primer; COLOUR :- Grey;
13,EPOXY ZINC RICH PRIMER; CAPACITY :- 20 ltr;
14,BITUMINOUS COATING;CAPACITY:-10 L;Asian;PRODUCT:-Asian Bituminous Coating;COLOUR:-Black
15,"UNION; SS; PIPE DIAMETER :- 1/2"";"
16,"UNION; BRASS; PIPE DIAMETER :- 1/2"" x 1/4"";"
17,BRIDGE EXPANSION JOINT SYSTEM;
18,"EQUAL TEE; SS; PIPE DIAMETER :- 1/2"";"
19,DETACHABLE JOINT; CI; CLASS 10; PN 16; PIPE DIAMETER :- DN 110 mm;
20,"PIPE NIPPLE; CI; PIPE DIAMETER :- 3"";"
21,RCC PIPE; STANDARD :- IS458 - 2003; CLASS :- NP4; TYPE OF JOINT :- Plain; DIAMETER :- 150 mm (ID); LENGTH :- 2.5 MTR;
22,CHLORINATED RUBBER COATING; TYPE :- Finish; CAPACITY :- 20 L; SHALIMAR; PRODUCT :- CHLOROKOTE HB; COLOUR :- Azure Blue;
23,ENAMEL PAINT; TYPE :- SPRAY; CAPACITY :- 1 L; Berger; PRODUCT :- Superior Aluminium Paint;
24,CHLORINATED RUBBER COATING; TYPE :- Finish; CAPACITY :- 20 L; SHALIMAR; PRODUCT :- CHLOROKOTE HB; COLOUR :- Ochre brown;
25,"PIPE NIPPLE;GI;IS 1239;PIPE DIAMETER:-1/2"""
26,GLASS; GLASS SPECIFICATIONS :- Toughened glass; GLASS THICKNESS :- 5 mm; GLASS LENGTH :- 200 mm; GLASS WIDTH :- 300 mm;
27,BAR BENDING MACHINE;TYPE:-ELECTRIC;CAPACITY:-42 MM;MAKE:-JAYMAC;MODEL:-B-42
28,CONCRETE MIXER MACHINE; TYPE :- ELECTRIC; CAPACITY :- 7/5 CFT; MAKE :- ASHOK;
29,ROPE SUSPENDED PLATFORM;CAPACITY:-800 KG;LIFTING HEIGHT 100 MTR;PLATFORM LENGTH:-7.5 MTR;MAKE:-NEWAGE;MODEL:-ZLP 800
30,"ELBOW - 90 DEG; COPPER; PIPE DIAMETER :- 1/2"";"
31,COUPLER; HDPE PLB DUCT; PIPE DIAMETER :- DN 40 mm;
32,"ELBOW - 90 DEG; UPVC; PIPE DIAMETER :- 1/2"";"
33,EPOXY PAINT;TYPE:-Base;Deep Industries;PRODUCT:-Deep Seal Liquid Epoxy Paint
34,EPOXY PRIMER; CAPACITY :- 20 ltr;
35,RED OXIDE PRIMER; TYPE :- Solvent Thinnable; BRAND :- Asian Paints; PRODUCT :- TruCare Red Oxide Metal Primer;
36,RED OXIDE PRIMER; TYPE :- Solvent Thinnable; CAPACITY :- 20 ltr; PRODUCT :- BP Red Oxide Primer;
37,RED OXIDE PRIMER; TYPE :- Solvent Thinnable; CAPACITY :- 1 ltr; PRODUCT :- Butterfly Anti Corrosive Metal Primer Red Oxide;
38,EPOXY ZINC RICH PRIMER; CAPACITY :- 20 ltr; PRODUCT :- ASIAN E HB ZRP; COLOUR :- Grey;
39,ZINC PHOSPHATE PRIMER;TYPE:-HIGH BUILD
40,ZINC PHOSPHATE PRIMER; BRAND :- Asian Paints;
41,EPOXY ZINC RICH PRIMER; CAPACITY :- 20 ltr; PRODUCT :- EPILUX-4; COLOUR :- Grey;
42,AUTOMOTIVE PAINT; CAPACITY :- 1 L; Asian; PRODUCT :- ASPA Super Finish; COLOUR :- Diamond white;
43,CONCRETE SURFACE SCARIFIER; TYPE :- ELECTRIC; CAPACITY :- 2.2 KW; MAKE :- AQUARIUS; MODEL :- ATE 20;
44,"HEX NIPPLE; GI; PIPE DIAMETER :- 1/2"";"
45,"Socket; GI; PIPE DIAMETER :- 2"";"
46,NAHANI TRAP; PVC; LARGER DIAMETER :- DN 110 mm; SMALLER DIAMETER :- DN 75 mm;
47,DECOILER MACHINE;
48,RATCHET LEVER HOIST (PULL LIFT); TYPE :- DOUBLE FALL; CAPACITY :- 0.75 TON; WITH 1.5 MTR LIFT;
49,THREADING MACHINE; TYPE :- ELECTRIC; SIZE :- ½” to 2”; MAKE :- ROTHENBERGER; MODEL :- SUPERTRONIC 2SE;
50,WIRE ROPE PULLEY;SINGLE SHEAVE;CAPACITY:-5 Ton
51,SCREED VIBRATOR;TYPE:-PETROL;CAPACITY:-1.6 HP;MAKE:-HONDA;MODEL:-SFS-1
52,TEAK WOOD;
53,POLYCARBONATE SHEET; TYPE :- Multiwall; THICKNESS :- 8 mm;
54,EXPANSION JOINT; RUBBER; PIPE DIAMETER :- DN 300 mm;
55,ENAMEL PAINT; CAPACITY :- 20 L; Berger; PRODUCT :- Butterfly Pro Industrial Enamel; COLOUR :- White;
56,ENAMEL PAINT; CAPACITY :- 20 L; Berger; PRODUCT :- Luxol Hi-Gloss; COLOUR :- Black;
57,"ELBOW - 90 DEG; GI; TYPE OF ENDS :- THREADED; PIPE DIAMETER :- 1/2"";"
58,SOIL COMPACTOR;TYPE:-AUTOMATIC;MAKE:-EIE;MODEL:-TM-029;ASTM D558
59,POWER TROWEL; TYPE :- PETROL; DIA :- 915 MM; MAKE :- WACKER; MODEL :- CT 36 - 5A;
